No,R,PCC,XYZ,C Blue Red Yellow
1,....,[ 0.60856428  0.58208062  0.75380871],[  94.78141402  100.          107.35197444],[ 0.  0.  0.]
2,....,[-0.05561835 -0.33729653 -0.23763744],[ 62.15036708  54.97549795   8.32999944],[ 0.   0.   0.1]
3,....,[-0.07912904 -0.35314249 -0.31339362],[ 56.7105807   47.54279053   4.54394857],[ 0.   0.   0.2]
4,....,[-0.09149944 -0.34654801 -0.34641918],[ 53.22971271  43.18069741   3.13416937],[ 0.   0.   0.3]
5,....,[-0.10030692 -0.33617442 -0.36477381],[ 50.61309094  40.10062721   2.39492803],[ 0.   0.   0.4]
6,....,[-0.10722848 -0.32562101 -0.37612316],[ 48.49848675  37.72827486   1.93900921],[ 0.   0.   0.5]
7,....,[-0.11292562 -0.31578947 -0.38353698],[ 46.71667708  35.80499021   1.6294644 ],[ 0.   0.   0.6]
8,....,[-0.11774464 -0.30687634 -0.38851265],[ 45.17360492  34.19194196   1.40543943],[ 0.   0.   0.7]
9,....,[-0.12189721 -0.29886495 -0.39187617],[ 43.8110881   32.80594786   1.23573899],[ 0.   0.   0.8]
10,....,[-0.12552518 -0.29167487 -0.39412329],[ 42.59040643  31.59322926   1.10270953],[ 0.   0.   0.9]
11,....,[-0.12872945 -0.28521233 -0.3955705 ],[ 41.4843803   30.5170157    0.99560614],[ 0.  0.  1.]
12,....,[-0.01070188 -0.01797642 -0.25622641],[ 35.15618952  21.12412823  18.22012324],[ 0.   0.1  0. ]
13,....,[-0.1259864  -0.14400454 -0.36935247],[ 32.22474676  19.94905056   5.83824659],[ 0.   0.1  0.1]
14,....,[-0.14585805 -0.16560858 -0.38652224],[ 31.29353062  19.35658018   3.58358649],[ 0.   0.1  0.2]
15,....,[-0.15404373 -0.17507469 -0.39277553],[ 30.63396269  18.90542361   2.6011577 ],[ 0.   0.1  0.3]
16,....,[-0.15844636 -0.18049706 -0.39541242],[ 30.08244796  18.52456152   2.04695927],[ 0.   0.1  0.4]
17,....,[-0.16117421 -0.1840424  -0.39640542],[ 29.59208409  18.18784574   1.68994336],[ 0.   0.1  0.5]
18,....,[-0.1630251  -0.18654819 -0.3965223 ],[ 29.14314826  17.88241568   1.44031671],[ 0.   0.1  0.6]
19,....,[-0.16436503 -0.18841098 -0.3961268 ],[ 28.72533675  17.60084435   1.25574823],[ 0.   0.1  0.7]
20,....,[-0.16538411 -0.18984487 -0.39541396],[ 28.33245019  17.3383757    1.11362387],[ 0.   0.1  0.8]
21,....,[-0.16619017 -0.19097665 -0.3944976 ],[ 27.96037473  17.09173627   1.00074703],[ 0.   0.1  0.9]
22,....,[-0.16684845 -0.19188668 -0.39344834],[ 27.60618088  16.85855021   0.90889122],[ 0.   0.1  1. ]
23,....,[-0.07019257 -0.09021812 -0.29258502],[ 27.94537143  15.74853617  11.15261489],[ 0.   0.2  0. ]
24,....,[-0.13224472 -0.15950675 -0.35655916],[ 26.36141117  15.2162391    4.72144696],[ 0.   0.2  0.1]
25,....,[-0.14775381 -0.17521712 -0.36993618],[ 25.74024824  14.9020642    3.08953498],[ 0.   0.2  0.2]
26,....,[-0.1549965  -0.18224017 -0.3752686 ],[ 25.29686691  14.65150942   2.31308264],[ 0.   0.2  0.3]
27,....,[-0.15921254 -0.18618465 -0.37773276],[ 24.92621797  14.43402905   1.85452482],[ 0.   0.2  0.4]
28,....,[-0.16198085 -0.18868312 -0.37883968],[ 24.59600679  14.23779912   1.55046756],[ 0.   0.2  0.5]
29,....,[-0.16394472 -0.19038769 -0.37920039],[ 24.29248748  14.05687325   1.33356141],[ 0.   0.2  0.6]
30,....,[-0.1654158  -0.19161013 -0.37911147],[ 24.00857299  13.88777618   1.17078856],[ 0.   0.2  0.7]
31,....,[-0.16656347 -0.19251828 -0.37873494],[ 23.74010199  13.72826561   1.04400313],[ 0.   0.2  0.8]
32,....,[-0.16748765 -0.19321046 -0.37816695],[ 23.48438875  13.57678935   0.94238416],[ 0.   0.2  0.9]
33,....,[-0.16825105 -0.19374808 -0.37746814],[ 23.23957141  13.43221514   0.85906933],[ 0.   0.2  1. ]
34,....,[-0.09642254 -0.12398319 -0.30129134],[ 24.05552724  13.13316219   8.11922582],[ 0.   0.3  0. ]
35,....,[-0.13709031 -0.16998888 -0.34455798],[ 23.00844288  12.80677965   4.00813838],[ 0.   0.3  0.1]
36,....,[-0.14951013 -0.18245783 -0.35568167],[ 22.5377659   12.59558021   2.74268024],[ 0.   0.3  0.2]
37,....,[-0.15576605 -0.18823645 -0.36049284],[ 22.19643451  12.42222196   2.10163148],[ 0.   0.3  0.3]
38,....,[-0.1595814  -0.19149219 -0.3629082 ],[ 21.9103221   12.26921838   1.70969507],[ 0.   0.3  0.4]
39,....,[-0.16217212 -0.19352688 -0.36414707],[ 21.65510411  12.12952269   1.44387185],[ 0.   0.3  0.5]
40,....,[-0.1640587  -0.19488139 -0.36472016],[ 21.42013314  11.99952033   1.25116194],[ 0.   0.3  0.6]
41,....,[-0.16550225 -0.19582073 -0.36488138],[ 21.19986927  11.87707569   1.10478056],[ 0.   0.3  0.7]
42,....,[-0.16664848 -0.19648975 -0.36477205],[ 20.99106616  11.76080184   0.9896725 ],[ 0.   0.3  0.8]
43,....,[-0.16758523 -0.19697414 -0.36447738],[ 20.79164647  11.64973462   0.89670165],[ 0.   0.3  0.9]
44,....,[-0.16836865 -0.19732766 -0.36405196],[ 20.6001874   11.54316858   0.81999222],[ 0.   0.3  1. ]
45,....,[-0.11159881 -0.14391079 -0.30267591],[ 21.45734996  11.4807072    6.40533332],[ 0.   0.4  0. ]
46,....,[-0.14093394 -0.17734109 -0.33456908],[ 20.69537068  11.25230078   3.50011219],[ 0.   0.4  0.1]
47,....,[-0.15117327 -0.1876351  -0.34407679],[ 20.31744218  11.09490697   2.47803525],[ 0.   0.4  0.2]
48,....,[-0.15661914 -0.19257772 -0.34846683],[ 20.03873461  10.96300674   1.9344072 ],[ 0.   0.4  0.3]
49,....,[-0.16005469 -0.19539399 -0.35081135],[ 19.80414669  10.8452103    1.59261179],[ 0.   0.4  0.4]
50,....,[-0.1624444  -0.19715059 -0.35212006],[ 19.59456568  10.73676951   1.35642693],[ 0.   0.4  0.5]
51,....,[-0.16421714 -0.19830605 -0.35282878],[ 19.40138469  10.63520575   1.18286999],[ 0.   0.4  0.6]
52,....,[-0.16559398 -0.19909035 -0.35315862],[ 19.22006083  10.53903962   1.04966664],[ 0.   0.4  0.7]
53,....,[-0.16670091 -0.19963136 -0.35323459],[ 19.04791738  10.44730443   0.94405912],[ 0.   0.4  0.8]
54,....,[-0.16761512 -0.20000566 -0.35313305],[ 18.88324226  10.35932558   0.85819022],[ 0.   0.4  0.9]
55,....,[-0.16838663 -0.20026178 -0.35290348],[ 18.72486789  10.27460822   0.78694575],[ 0.   0.4  1. ]
56,....,[-0.12163821 -0.157108   -0.30142444],[ 19.53933853  10.30462841   5.29712509],[ 0.   0.5  0. ]
57,....,[-0.14406283 -0.18276087 -0.32619902],[ 18.95182151  10.13234927   3.11531823],[ 0.   0.5  0.1]
58,....,[-0.15270092 -0.19147068 -0.33447098],[ 18.63758764  10.00797627   2.26658427],[ 0.   0.5  0.2]
59,....,[-0.1574935  -0.19578897 -0.3385007 ],[ 18.40211495   9.90206536   1.79680748],[ 0.   0.5  0.3]
60,....,[-0.16059855 -0.19828305 -0.34075812],[ 18.20298021   9.80661793   1.49443499],[ 0.   0.5  0.4]
61,....,[-0.16279984 -0.1998439  -0.34209427],[ 18.0247499    9.71819927   1.28213549],[ 0.   0.5  0.5]
62,....,[-0.16445672 -0.20086592 -0.34288637],[ 17.86028818   9.63498774   1.12429389],[ 0.   0.5  0.6]
63,....,[-0.16575866 -0.20155104 -0.34332922],[ 17.70577054   9.5558857    1.00205262],[ 0.   0.5  0.7]
