No,R,PCC,XYZ,C Blue Red Yellow
1,....,[-0.15109471 -0.17342129 -0.11679306],[ 4.08562447  3.62363734  3.91057473],[ 0.15  0.15  0.15]
2,....,[-0.16654666 -0.19129722 -0.13374286],[ 3.73901319  3.36272687  2.12236157],[ 0.15  0.15  0.35]
3,....,[-0.17166099 -0.19810175 -0.14089813],[ 3.60290813  3.21401129  1.46766084],[ 0.15  0.15  0.55]
4,....,[-0.17409341 -0.20180977 -0.14530819],[ 3.52438312  3.1093224   1.1250466 ],[ 0.15  0.15  0.75]
5,....,[-0.17546761 -0.20416262 -0.14850762],[ 3.4702879   3.02821925  0.9135776 ],[ 0.15  0.15  0.95]
6,....,[-0.15657627 -0.17915491 -0.13248492],[ 3.49692746  2.6227143   2.98770896],[ 0.15  0.35  0.15]
7,....,[-0.16787272 -0.19145489 -0.14457863],[ 3.26211165  2.50899806  1.7855098 ],[ 0.15  0.35  0.35]
8,....,[-0.17236392 -0.19637434 -0.14996429],[ 3.16156254  2.43983935  1.28597574],[ 0.15  0.35  0.55]
9,....,[-0.17475358 -0.19904519 -0.15332591],[ 3.10271728  2.38954457  1.00876335],[ 0.15  0.35  0.75]
10,....,[-0.17622385 -0.20071866 -0.15578573],[ 3.06247391  2.34971482  0.83155438],[ 0.15  0.35  0.95]
11,....,[-0.16063989 -0.18276534 -0.1401426 ],[ 3.17927284  2.19624918  2.45136744],[ 0.15  0.55  0.15]
12,....,[-0.16928997 -0.19220283 -0.14974239],[ 3.00298056  2.12750068  1.56031905],[ 0.15  0.55  0.35]
13,....,[-0.17309751 -0.19620481 -0.15429604],[ 2.92150166  2.08385994  1.15717335],[ 0.15  0.55  0.55]
14,....,[-0.17524699 -0.19841162 -0.15720635],[ 2.87237607  2.05143006  0.92368966],[ 0.15  0.55  0.75]
15,....,[-0.16359423 -0.18536981 -0.14527397],[ 2.96403169  1.94562646  2.09022506],[ 0.15  0.75  0.15]
16,....,[-0.17050067 -0.19296265 -0.1532346 ],[ 2.8246312   1.89800547  1.39349512],[ 0.15  0.75  0.35]
17,....,[-0.17376395 -0.19634969 -0.15723064],[ 2.75608511  1.8667407   1.05735776],[ 0.15  0.75  0.55]
18,....,[-0.16583863 -0.18733719 -0.14918105],[ 2.80249608  1.77515539  1.82721361],[ 0.15  0.95  0.15]
19,....,[-0.17152363 -0.19362844 -0.15596079],[ 2.68850132  1.73956372  1.26298615],[ 0.15  0.95  0.35]
20,....,[-0.15574776 -0.16256982 -0.14284546],[ 2.42718067  2.39590489  3.75222118],[ 0.35  0.15  0.15]
21,....,[-0.17033635 -0.17922062 -0.15796018],[ 2.10935112  2.17279209  2.07079176],[ 0.35  0.15  0.35]
22,....,[-0.17533671 -0.18575983 -0.16416605],[ 1.98660483  2.04802147  1.44073274],[ 0.35  0.15  0.55]
23,....,[-0.17775133 -0.18941035 -0.1678283 ],[ 1.91839294  1.96191468  1.10791321],[ 0.35  0.15  0.75]
24,....,[-0.17912228 -0.19179208 -0.17037078],[ 1.8734078   1.89641222  0.90142452],[ 0.35  0.15  0.95]
25,....,[-0.16029867 -0.17002936 -0.15541606],[ 2.07869579  1.73180265  2.89609798],[ 0.35  0.35  0.15]
26,....,[-0.17095881 -0.18172326 -0.16632009],[ 1.8593235   1.62840837  1.75152765],[ 0.35  0.35  0.35]
27,....,[-0.17528314 -0.18658046 -0.17104019],[ 1.76610641  1.56636472  1.267513  ],[ 0.35  0.35  0.55]
28,....,[-0.17759768 -0.18929748 -0.1738498 ],[ 1.71288107  1.52197324  0.99686713],[ 0.35  0.35  0.75]
29,....,[-0.16394474 -0.173971   -0.16188068],[ 1.88145582  1.43392903  2.38868616],[ 0.35  0.55  0.15]
30,....,[-0.17213383 -0.18302018 -0.17051875],[ 1.71585649  1.37046417  1.53477702],[ 0.35  0.55  0.35]
31,....,[-0.1757959  -0.18700965 -0.17448495],[ 1.63994434  1.33070313  1.14276317],[ 0.35  0.55  0.55]
32,....,[-0.16666712 -0.17665384 -0.16615662],[ 1.74730182  1.25788467  2.04376257],[ 0.35  0.75  0.15]
33,....,[-0.17322137 -0.18398112 -0.17329174],[ 1.61606893  1.21374763  1.37313892],[ 0.35  0.75  0.35]
34,....,[-0.16875886 -0.17865352 -0.16932957],[ 1.64738269  1.13890505  1.79104607],[ 0.35  0.95  0.15]
35,....,[-0.1583194  -0.15797211 -0.1589457 ],[ 1.85709426  1.90358756  3.60732851],[ 0.55  0.15  0.15]
36,....,[-0.17212517 -0.1734648  -0.1728046 ],[ 1.560055    1.70620296  2.02264777],[ 0.55  0.15  0.35]
37,....,[-0.17702163 -0.17966783 -0.17849938],[ 1.4444534   1.59625032  1.41559948],[ 0.55  0.15  0.55]
38,....,[-0.17943174 -0.18316017 -0.18181308],[ 1.3807503   1.52090916  1.09200142],[ 0.55  0.15  0.75]
39,....,[-0.162463   -0.1657271  -0.16949981],[ 1.59285859  1.39056593  2.81020349],[ 0.55  0.35  0.15]
40,....,[-0.17256636 -0.17678747 -0.17963043],[ 1.38483249  1.2944625   1.71898919],[ 0.55  0.35  0.35]
41,....,[-0.17675288 -0.18149358 -0.18402953],[ 1.29555919  1.23686248  1.24973508],[ 0.55  0.35  0.55]
42,....,[-0.16580977 -0.16981321 -0.17522138],[ 1.43681632  1.14872061  2.32932425],[ 0.55  0.55  0.15]
43,....,[-0.17359905 -0.17842652 -0.18327044],[ 1.27877682  1.08872387  1.51012254],[ 0.55  0.55  0.35]
44,....,[-0.16834528 -0.17254246 -0.17904818],[ 1.32930818  1.00333739  1.99949049],[ 0.55  0.75  0.15]
45,....,[-0.16010469 -0.15584581 -0.16966596],[ 1.55381903  1.61563174  3.4739528 ],[ 0.75  0.15  0.15]
46,....,[-0.17318506 -0.17031072 -0.18250934],[ 1.27446926  1.4381497   1.97733587],[ 0.75  0.15  0.35]
